Organization,IP,Programme,Donor,Crisis,Status,BeneficiaryType,RuralUrban,Modality,RegionMap,DistrictMap,Settlement,Location,StartMonth,EndMonth,EndYear,LastUpdated,PIN,Target,PCM,CRFM,ReportYear,ProgrammeCategory,Id,Individuals,Households,Men,Women,Boys,Girls
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Ceerigaabo,Markabka,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,341,3480,552,672,624,1134,1050
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Fiqifuliye,Fiqifuliye,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,337,3036,480,586,544,990,916
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Shimbiraale,Shimbiraale,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,339,3600,570,696,644,1172,1086
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Dhabarmac,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,343,5100,792,954,904,1664,1578
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Dhararwayne,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,345,10200,1584,1908,1810,3326,3156
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Salaxley,Salalxley,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,388,3600,674,782,722,1090,1006
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Balli-Gubadle,Bali-Gubadle,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,386,1200,224,260,240,364,336
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Bali-Mataan,Bali-Mataan,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,390,4800,898,1042,962,1454,1342
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Afmadow,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,354,300,40,48,44,108,98
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Kurteely,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,356,360,48,58,54,130,118
